,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
715,Rhus aromatica,RHAR4,1,1,1,0,9,4,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Hungry Hook Bainbridge, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,Yes,,11.0,Yes,Yes,No,Shrub,Rhus aromatica,Fragrant Sumac,Anacardiaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Green–yellow,No,Apr–Jun,3–6,Long,Multiple Stem,Rounded,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Low,,Low,5–8,Low,Slow,"Spring, Summer",Medium,Yes,High,,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Calycopis cecrops,,,
716,Rhus copallinum,RHCO,1,1,1,0,3,5,0,"Gino's Newtown, Go Native Trees, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.0,Yes,Yes,No,Shrub,Rhus copallinum,Winged Sumac,Anacardiaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Yellow–green,No,Apr–May,3–6,Moderate,Rhizomatous,Erect,Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,5.3–7.5,Low,Moderate,"Spring, Summer",Low,Yes,Medium,High,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,"Caloptilia rhoifoliella, Calycopis cecrops, Chloropteryx tepperaria, Citheronia regalis, Dichorda iridaria, Dichorda iridaria latipennis, Dichorda iridaria remotaria, Episimus argutanus, Nemoria bifilata, Nemoria bifilata bifilata, Nemoria rubrifrontaria",,,
717,Rhus glabra,RHGL,1,1,1,0,4,5,0,"Archewild Quakertown, Gino's Newtown, Go Native Trees, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,10.0,Yes,Yes,No,"Tree, Shrub",Rhus glabra,Smooth Sumac,Anacardiaceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Green,Yes,Apr–May,12,Short,Rhizomatous,Erect,Color,Deciduous,"Sun, Part Shade",Dry,Low,,Medium,5.3–7.5,Low,Moderate,"Spring, Summer",Low,Yes,Medium,High,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Celastrina argiolus lucia/neglecta, Citheronia regalis, Eacles imperialis, Eacles oslari, Endopiza rhoifructana, Hyalophora cecropia, Lymantria dispar",,,
718,Rhus typhina,RHTY,1,1,1,0,6,6,0,"Archewild Quakertown, Bowman's New Hope, Edge ot Woods Orefield, Gino's Newtown, Northeast Quakertown, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,9.0,Yes,Yes,No,"Tree, Shrub",Rhus typhina,Staghorn Sumac,Anacardiaceae,"L48 (N), CAN (N)","AL, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, SD, TN, UT, VA, VT, WI, WV",Workhorse/Pollinator,Green–white,No,May–Jun,10–15,Short,Single Crown,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,4.5–7.2,Low,Rapid,"Spring, Summer",None,Yes,High,High,Medium/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,"Amorbia humerosana, Anacampsis rhoifructella, Biston betularia cognataria, Caloptilia belfrageella, Caloptilia rhoifoliella, Calycopis cecrops, Celastrina ladon, Citheronia regalis, Citheronia splendens sinaloensis, Datana perspicua, Dichorda iridaria, Dichorda iridaria iridaria, Dichorda iridaria latipennis, Eacles oslari, Episimus argutana, Hyalophora cecropia, Lophocampa caryae, Lymantria dispar, Marathyssa inficita, Melanolophia canadaria, Moodna ostrinella, Nephopterix subfuscella, Olethreutes permundana, Pseudochelaria walsingham, Pyrrhia umbra, Samia cynthia cynthia, Saturnia mendocino, Saturnia walterorum, Schreckensteinia erythriella, Telphusa longifasciella",,,
719,Ribes americanum,RIAM2,1,1,1,0,1,4,0,Redbud Media,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,No,Shrub,Ribes americanum,American Black Currant,Grossulariaceae,"L48 (N), CAN (N)","CO, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY",Pollinator,Yellow,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Alcathoe caudata, Fishia evelina, Hyalophora cecropia, Macaria subcessaria, Nematocampa limbata, Nematocampa resistaria, Stretchia plusiiformis",,,
720,Ribes aureum,RIAU,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,Yes,Shrub,Ribes aureum,Golden Currant,Grossulariaceae,"L48 (N), CAN (NI)","AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, MD, MI, MN, MO, MT, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VT, WA, WI, WY",Workhorse/Pollinator,Yellow,Yes,Apr–May,3–6,Long,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Low,Medium,None,6–8,High,Moderate,"Spring, Summer",High,Yes,Medium,Medium,High/Medium,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Abagrotis nefascia, Aseptis binotata, Decodes asapheus, Filatima prognosticata, Leptarctia californiae, Macaria occiduaria, Macaria ribearia, Malacosoma californica ""central population"", Malacosoma californica lutescens, Malacosoma californica pluvialis, Mesogona olivata, Neoterpes trianguliferata, Pyrrharctia isabella, Tharsalea arota, Tharsalea arota nubila, Xanthotype sospeta",Yes,,
721,Ribes cynosbati,RICY,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Ribes cynosbati,Eastern Prickly Gooseberry,Grossulariaceae,"L48 (N), CAN (N)","AL, AR, CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, OK, PA, SC, SD, TN, VA, VT, WI, WV",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Antheraea polyphemus polyphemus, Macaria bitactata, Macaria ribearia, Macaria subcessaria, Malacosoma californica fragilis, Semiothisa pervolata",,,
722,Ribes glandulosum,RIGL,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Ribes glandulosum,Skunk Currant,Grossulariaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CT, IA, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, TN, VA, VT, WI, WV",Pollinator,,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Polygonia gracilis gracilis, Xanthotype urticaria",,,
723,Ribes hirtellum,RIHI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Ribes hirtellum,Hairystem Gooseberry,Grossulariaceae,"L48 (N), CAN (N), SPM (N)","CT, IA, IL, IN, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WI, WV",Pollinator,,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
724,Ribes lacustre,RILA,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,Yes,No,Shrub,Ribes lacustre,Prickly Currant,Grossulariaceae,"L48 (N), AK (N), CAN (N)","AK, CA, CO, CT, ID, MA, ME, MI, MN, MT, NH, NJ, NV, NY, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY",Pollinator,Purple,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Butterfly); Larval Host (Moth),Yes,,,,,,,,,Yes,Yes,"Clepsis persicana, Euxoa auxilaris, Hyalophora columbia gloveri, Hyles lineata, Hyphantria cunae, Limenitis arthemis arizonensis, Lophocampa maculata, Macaria flavicaria, Macaria quadrilinearia, Malacosoma californica pluvialis, Mesothea incertata viridipennata, Nematocampa resistaria, Papaipema cataphracta, Papaipema nebris, Peridroma saucia, Platypolia contadina, Polygonia zephyrus, Spaelotis clandestina, Spilosoma virginica, Stretchia plusiiformis, Xanthotype sospeta, Xestia c-nigrum, Zelleria gracilariella",,,
725,Ribes missouriense,RIMI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,Yes,No,Shrub,Ribes missouriense,Missouri Gooseberry,Grossulariaceae,"L48 (N), CAN (I)","AR, CT, IA, IL, IN, KS, KY, MD, MN, MO, MT, ND, NE, NJ, NY, OH, OK, PA, SD, TN, VA, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Butterfly),Yes,,,,,,,,,Yes,,Polygonia progne progne,,,
726,Ribes triste,RITR,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,Yes,Shrub,Ribes triste,Red Currant,Grossulariaceae,"L48 (N), AK (N), CAN (N)","AK, CT, IL, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, PA, RI, SD, VA, VT, WA, WI, WV",Pollinator,"Green–white, white, pink",No,May–Jun,0.5–3,Short,Stoloniferous,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",Medium,,None,5–7.5,Medium,Moderate,Summer,Low,Yes,Low,,High/High,"Seed, Container, Cutting, Sprig",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Agonopterix antennariella, Eupithecia miserulata miserulata, Polygonia gracilis gracilis",Yes,,
727,Robinia hispida,ROHI,1,1,0,0,1,5,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,"Tree, Shrub",Robinia hispida,Bristly Locust,Fabaceae,"L48 (N), CAN (I)","AL, AR, CA, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV",Pollinator,Purple,No,May–Jun,7,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,3.5–7.5,Low,Rapid,"Spring, Summer",None,Yes,High,Medium,Low/Low,"Seed, Container, Bare root",Unlikely,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Automeris io io, Chrysaster ostensackenella, Epargyreus clarus, Filatima pseudacaciella, Halysidota tessellaris, Nephopterix subcaesiella, Parectopa robiniella, Phyllonorycter robiniella",,,
728,Robinia pseudoacacia,ROPS,1,1,1,0,4,5,0,"Archewild Quakertown, Gino's Newtown, Go Native Trees, Musser Indiana",ErnstSeed.com,Longwood Gardens,No,,11.0,Yes,Yes,Yes,Tree,Robinia pseudoacacia,Black Locust,Fabaceae,"L48 (NI), CAN (I)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,White,Yes,Apr–May,60,Short,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Medium,,Medium,4.6–8.2,Low,Rapid,Spring,Low,Yes,High,High,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,"Actias luna luna, Agonopterix robiniella, Alsophila pometaria, Anticarsia gemmatalis, Archips argyrospila, Automeris io io, Automeris iris hesselorum, Caloptilia stigmatella, Catocala amestris, Celiptera frustulm, Ceratomia amyntor, Chrysaster ostensackenella, Chrysopeleia purpuriella, Ecdytolopha insiticiana, Elasmopalpus lignosellus, Epargyreus clarus, Epargyreus clarus clarus, Erynnis icelus, Erynnis zarucco, Erynnis zarucco zarucco, Etiella zinckenella, Euparthenos nubilis, Euproctis chrysorrhoea, Filatima pseudacaciella, Halysidota tessellaris, Heliomata cycladata, Hyalophora cecropia, Hypena scabra, Hypercompe scribonia, Hyphantria cunae, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Malacosoma californica pluvialis, Malacosoma disstria, Nematocampa filamentaria, Nematocampa limbata, Nematocampa resistaria, Nephopterix subcaesiella, Nephopterix subfuscella, Nephopterix virgatella, Oiketicus toumeyi, Orgyia leucostigma, Papaipema nebris, Paranthrene robiniae, Parectopa lespedexaefoliella, Parectopa robiniella, Pero honestaria, Phyllonorycter fitchella, Phyllonorycter gemmea, Phyllonorycter robiniella, Prionoxystus robiniae, Pseudanthracia coracias, Pyrrhia umbra, Schizura concinna, Schizura unicornis, Semiothisa aemulataria, Semiothisa nigrocomma, Semiothisa ocellinata, Sinoe robiniella, Syssphinx albolineata, Syssphinx bicolor, Syssphinx hubbardi, Tetracis cachexiata, Thorybes ephemeraeformis, Zale undularis, Zale unilineata, Zeuzera pyrina",Yes,,
729,Robinia viscosa,ROVI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,"Tree, Shrub",Robinia viscosa,Clammy Locust,Fabaceae,"L48 (N), CAN (I)","AL, CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Automeris io io, Epargyreus clarus, Halysidota tessellaris, Nephopterix subcaesiella, Phyllonorycter robiniella",,,
730,Rosa blanda,ROBL,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rosa blanda,Smooth Rose,Rosaceae,"L48 (N), CAN (N)","CT, IA, IL, IN, KS, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NY, OH, PA, SD, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,"Euphydryas chalcedona chalcedona, Hedya ochroleucana, Hyalophora cecropia, Malacosoma disstria, Probole amicaria",,,
731,Rosa carolina,ROCA4,1,1,1,0,5,6,0,"Archewild Quakertown, Gino's Newtown, Go Native Trees, Keystone Robesonia, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,9.0,Yes,Yes,No,Shrub,Rosa carolina,Pasture Rose,Rosaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Pink,Yes,Jun–Aug,3–6,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Low,,Medium,4–7,Low,Moderate,"Spring, Summer",Low,Yes,High,Medium,Medium/Medium,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,"Acleris minuta, Ancylis comptana, Euphydryas chalcedona chalcedona, Euproctis chrysorrhoea, Lymantria dispar, Malacosoma californica fragilis, Malacosoma disstria, Notocelia purpurissatana, Paonias excaecata, Probole amicaria, Sphinx gordius, Spilonota ocellana, Tischeria admiralbilis, Tischeria roseticola",,,
732,Rosa palustris,ROPA,1,1,1,0,7,6,0,"Arcadia Washington, Archewild Quakertown, Collins Glenside, Go Native Trees, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Shrub,Rosa palustris,Swamp Rose,Rosaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Workhorse/Pollinator,Pink,Yes,Apr–May,5–7,Long,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,Medium,,None,4–7,Medium,Moderate,Summer,Low,Yes,Low,Low,Low/,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Tischeria admiralbilis,,,
733,Rosa setigera,ROSE2,1,1,1,0,1,4,0,Redbud Media,PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,"Vine, Shrub",Rosa setigera,Climbing Rose,Rosaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV",Pollinator,White,Yes,Apr–May,16,Moderate,Single Stem,Climbing,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Low,,None,5–7.5,Medium,Rapid,Spring,Low,Yes,High,Medium,Medium/Medium,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Paleacrita vernata, Stigmella rosaefoliella, Tischeria roseticola",,,
734,Rosa virginiana,ROVI2,1,1,1,0,6,5,0,"Bowman's New Hope, Gino's Newtown, Go Native Trees, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Shrub,Rosa virginiana,Virginia Rose,Rosaceae,"L48 (N), CAN (N), SPM (N)","AL, AR, CT, DC, DE, GA, IA, IL, KY, MA, MD, ME, MO, NC, NH, NJ, NY, PA, RI, TN, VA, VT",Pollinator,Purple,Yes,May–Jun,6,Moderate,Rhizomatous,Semi-Erect,Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",Medium,,None,5–7,Medium,Moderate,"Spring, Summer",None,Yes,Low,High,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
735,Rubus allegheniensis,RUAL,1,1,1,0,2,6,0,"Gino's Newtown, Go Native Trees",ErnstSeed.com,Longwood Gardens,No,,8.0,Yes,Yes,No,Shrub,Rubus allegheniensis,Allegheny Blackberry,Rosaceae,"L48 (N), CAN (N)","AL, AR, CA, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,White,Yes,Apr–May,6,Short,Thicket Forming,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Medium,,None,4.6–7.5,Medium,Rapid,"Spring, Summer",None,Yes,High,High,High/Low,"Seed, Container, Bare root, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Amphipyra pyramidoides, Ancylis comptana, Anisota senatoria, Apatelodes torrefacta, Argyrotaenia velutinana, Automeris io, Cepphis decoloraria, Cnidocampa flavescens, Euproctis chrysorrhoea, Eupsilia sidus, Euxoa auxilaris, Euxoa scandens, Habrosyne scripta, Haploa colona, Haploa lecontei, Hemileuca eglanterina, Hemileuca maia maia, Heterocampa guttivitta, Hyalophora cecropia, Hydria undulata, Hypena californica, Hypena scabra, Hyphantria cunae, Lymantria dispar, Malacosoma californica california, Nematocampa limbata, Nematocampa resistaria, Orgyia antiqua, Orgyia vetusta, Palthis angulalis, Paonias excaecata, Papaipema cataphracta, Papaipema nebris, Peridroma saucia, Phigalia titea, Phyllodesma americana, Pyrrharctia isabella, Pyrrhia umbra, Schizura concinna, Schizura ipomoeae, Schizura unicornis, Spilosoma virginica, Spodoptera ornithogalli, Spodoptera praefica, Sutyna privata, Synchlora aerata, Tischeria aenea, Trichordestra legitima, Xanthorhoe lacustrata",,,
736,Rubus argutus,RUAR2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Shrub,Rubus argutus,Sawtooth Blackberry,Rosaceae,"L48 (N), HI (I)","AL, AR, CT, DE, FL, GA, HI, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV",Pollinator,White,Yes,Apr–May,8,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,None,4.5–7,Low,Rapid,Spring,Low,Yes,Medium,Medium,Medium/Medium,"Seed, Container, Bare root, Cutting, Sprig",Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
737,Rubus canadensis,RUCA16,1,1,0,0,1,4,0,Redbud Media,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,No,Shrub,Rubus canadensis,Smooth Blackberry,Rosaceae,"L48 (N), CAN (N), SPM (N)","CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Automeris io,,,
